Person ID,TITLE,Surname,Given names,CRS_LOCATION,COURSE_CD,C_VER,CRS_TITLE,COURSE_ATTEMPT_STATUS,DISCONTINUED_DT,DISC_CODE,DISCONTIN_REASON,COMMENCEMENT_DT,UNIT_CD,ACAD_YR,CAL_TYPE,MARK,GRADE
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT5160,2018,S2-01,49,N
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT9132,2017,S2-01,53,P
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT5148,2020,S1-01,53,P
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT9123,2018,S1-01,59,P
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT5094,2019,S1-01,58,P
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT5101,2019,S1-01,64,C
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,MGM5966,2020,S2-01,64,C
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,ACM5903,2019,S2-01,65,C
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT5120,2021,S1-01,65,C
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT5152,2019,S2-01,66,C
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT5088,2020,S1-01,67,C
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT5122,2021,S1-01,68,C
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT5133,2020,S2-01,68,C
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT9130,2017,S2-01,72,D
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT5057,2018,S2-01,77,D
38866542,MR,Michael,Watson,MALAYSIA,C6003,2,Master of Business Information Systems,COMPLETED,,,,24 Jul 17,FIT9131,2018,S1-01,87,HD
41877053,MS,Alison,Ogden,MALAYSIA,1941,6,Bachelor of Business and Commerce and Bachelor of Communication,COMPLETED,,,,23 Jul 12,BTW1042,2013,S2-01,57,P
41877053,MS,Alison,Ogden,MALAYSIA,1941,6,Bachelor of Business and Commerce and Bachelor of Communication,COMPLETED,,,,23 Jul 12,AMU2448,2015,S2-01,58,P
41877053,MS,Alison,Ogden,MALAYSIA,1941,6,Bachelor of Business and Commerce and Bachelor of Communication,COMPLETED,,,,23 Jul 12,ECW1101,2013,S1-01,63,C
41877053,MS,Alison,Ogden,MALAYSIA,1941,6,Bachelor of Business and Commerce and Bachelor of Communication,COMPLETED,,,,23 Jul 12,MKW3121,2015,S1-01,63,C
41877053,MS,Alison,Ogden,MALAYSIA,1941,6,Bachelor of Business and Commerce and Bachelor of Communication,COMPLETED,,,,23 Jul 12,ATS1328,2013,S1-01,64,C
41877053,MS,Alison,Ogden,MALAYSIA,1941,6,Bachelor of Business and Commerce and Bachelor of Communication,COMPLETED,,,,23 Jul 12,ATS1329,2013,S2-01,64,C
41877053,MS,Alison,Ogden,MALAYSIA,1941,6,Bachelor of Business and Commerce and Bachelor of Communication,COMPLETED,,,,23 Jul 12,ETW1102,2013,S1-01,65,C
41877053,MS,Alison,Ogden,MALAYSIA,1941,6,Bachelor of Business and Commerce and Bachelor of Communication,COMPLETED,,,,23 Jul 12,ATS2450,2013,S2-01,65,C
